lxg	2	2 3 3 4	1	1	0	0
lxg	2	2 2 3 3	1	1	0	0
lxg	2	5 4 4 3	1	1	0	0
lxg	2	2 4 3 3	1	1	0	0
swei	2	2 3 2 4	1	1	0	0
swei	2	3 4 5 2	1	1	0	0
swei	2	2 3 4 2	1	1	0	0
swei	2	4 3 3 2	1	1	0	0
swei	2	3 2 2 5	1	1	0	0
swei	2	2 3 3 4	1	1	0	0
swei	2	5 3 4 3	1	1	0	0
lxg	2	2 3 2 4	1	1	0	0
lxg	2	4 5 3 2	1	1	0	0
lxg	2	5 2 1 3	1	1	0	0
swei	2	5 4 3 3	1	1	0	0
swei	2	3 2 4 2	1	1	0	0
lxg	2	1 2 2 3	1	1	1	10
lxg	2	1 2 4 5	1	1	1	10
lxg	2	3 2 1 2	1	1	1	10
swei	2	3 2 4 5	1	1	1	10
swei	2	3 4 5 5	1	1	1	50
lxg	3	2 3 3 4	1	1	1	10
lxg	4	3 3 3 3	1	1	0	0
lxg	5	2 3 3 4	1	0	0	0
